model,firstos,lastos
iPhone SE (gen 2),13,14
iPhone 11 Pro / 11 Pro Max,13,14
iPhone 11,13,14
iPhone XS Max (MT672LL),12,14
iPhone XR,12,14
iPhone X,11,14
iPhone 8,11,14
iPhone 7,10,14
iPhone SE (gen 1),9,14
iPhone 6S,9,14
iPhone 6S Plus,9,14
iPhone 6,8,12
iPhone 5S,7,12
iPhone 5c,7,10
iPhone 5,6,10
iPhone 4s,5,9
iPhone 4 (GSM),4,7
iPhone 3GS,3,6
iPhone 3G,2,4
iPhone (gen 1),1,3
"iPad Pro 12.9"" (gen 4)",13,14
"iPad Pro 11"" (gen 2)",13,14
iPad (gen 7),13,14
"iPad Air 10.5""",12,14
iPad mini (gen 5),12,14
iPad Pro 12.9,12,14
"iPad Pro 11"" (gen 1)",12,14
iPad (gen 6),11,14
"iPad Pro 12.9"" (gen 2)",10,14
"iPad Pro 10.5""",10,14
"iPad (5th Gen, Wi-Fi Only)",10,14
"iPad 9.7 (Wi-Fi, Cellular)",9,14
iPad 9.7 (Wi-Fi Only),9,14
"iPad Pro 12.9"" (gen 1)",9,14
iPad mini 4,9,14
iPad mini 3,8,12
iPad Air 2,8,14
iPad mini 2,7,12
iPad Air (gen 1),7,12
iPad (gen 4),6,10
iPad mini (gen 1),9,9
iPad (gen 3),5,9
iPad 2 (WiFi Only),4,9
iPad 2,4,9
iPad (gen 1),3,5
iPod touch (gen 7),12,14
iPod Touch (6th Gen),8,12
"iPod (5th Gen, WiFi Only)",8,12
iPod touch (gen 4),4,6
iPod touch (gen 3),3,5
iPod touch (gen 2),2,4
iPod touch (gen 1),1,3